texto,Tamanho do texto (caracteres),Execução remota (ms),Execução local (ms)
Sua presença ilumina o ambiente. Sua,36,550,446
Sua presença ilumina o ambiente. Parabéns pelo excelente trabalho! O tempo de resposta foi registrado corretamente. Bom,119,199,952
Parabéns pelo excelente trabalho! A reunião será realizada às 14h no auditório. Ninguém aguenta mais o seu jeito tóxico de agir. Bom dia! Espero,144,209,1048
Você estraga tudo por onde passa. Seu trabalho é uma vergonha. Seu trabalho é uma vergonha. Você é péssimo no que faz. O sistema será atualizado amanhã cedo. Parabéns pelo excelente,181,272,1504
Recebemos seu formulário com sucesso. A reunião será realizada às 14h no auditório. Esse comportamento é completamente inaceitável. Parabéns pelo excelente trabalho! Sua presença ilumina o ambiente. Seu,202,226,1479
Sua presença ilumina o ambiente. Recebemos seu formulário com sucesso. Você é péssimo no que faz. Você é péssimo no que faz. Hoje o céu está parcialmente nublado. Você é péssimo no que faz. O tempo de,200,272,1545
O tempo de resposta foi registrado corretamente. Recebemos seu formulário com sucesso. A gentileza transforma o mundo. Parabéns pelo excelente trabalho! O sistema será atualizado amanhã cedo. O tempo de resposta foi registrado corretamente. Você é incrível. O tempo de resposta foi,281,299,1816
Bom dia! Espero que você tenha uma ótima semana. O sistema será atualizado amanhã cedo. Você é incrível. O sistema será atualizado amanhã cedo. Ninguém aguenta mais o seu jeito tóxico de agir. Você é péssimo no que faz. Bom dia! Espero que você tenha uma ótima semana. Seu trabalho é uma,287,308,2269
Você é incrível. Seu trabalho é uma vergonha. A reunião será realizada às 14h no auditório. O tempo de resposta foi registrado corretamente. Parabéns pelo excelente trabalho! Você é incrível. Seu trabalho é uma vergonha. O sistema será atualizado amanhã cedo. Você estraga tudo por onde passa. Você estraga tudo por onde passa. Você é péssimo no que faz. Você é incrível. Você é péssimo no que faz. Parabéns pelo excelente trabalho!,432,600,2561
Você estraga tudo por onde passa. O tempo de resposta foi registrado corretamente. Você é péssimo no que faz. Hoje o céu está parcialmente nublado. Seu trabalho é uma vergonha. A gentileza transforma o mundo. Recebemos seu formulário com sucesso. Recebemos seu formulário com sucesso. A reunião será realizada às 14h no auditório. A reunião será realizada às 14h no auditório. O sistema será atualizado amanhã cedo. Seu trabalho é uma vergonha. A gentileza transforma o mundo. A reunião será,491,599,3166
